interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-01-01 00:00:00-03:00	2024-01-01 00:05:00-03:00	-36	471	806	297	192	268	0	2242	11528	3078	1633	4356	0
2024-01-01 00:05:00-03:00	2024-01-01 00:10:00-03:00	-35	461	807	298	192	268	0	2241	11548	2918	1746	4326	0
2024-01-01 00:10:00-03:00	2024-01-01 00:15:00-03:00	-35	455	806	297	192	268	0	2241	11603	2827	1835	4204	0
2024-01-01 00:15:00-03:00	2024-01-01 00:20:00-03:00	-35	458	806	297	192	267	0	2241	11638	2813	1834	4142	0
2024-01-01 00:20:00-03:00	2024-01-01 00:25:00-03:00	-35	459	806	298	192	268	0	2240	11645	2811	1779	4150	0
2024-01-01 00:25:00-03:00	2024-01-01 00:30:00-03:00	-36	459	807	298	192	267	0	2241	11646	2808	1708	4152	0
2024-01-01 00:30:00-03:00	2024-01-01 00:35:00-03:00	-35	449	806	295	194	267	0	2241	11635	2809	1707	4129	0
2024-01-01 00:35:00-03:00	2024-01-01 00:40:00-03:00	-36	448	806	296	193	267	0	2241	11615	2790	1652	4172	0
2024-01-01 00:40:00-03:00	2024-01-01 00:45:00-03:00	-36	438	806	296	192	267	0	2238	11586	2779	1632	4150	0
2024-01-01 00:45:00-03:00	2024-01-01 00:50:00-03:00	-36	416	807	297	192	267	0	2237	11543	2783	1638	4145	0
2024-01-01 00:50:00-03:00	2024-01-01 00:55:00-03:00	-36	406	807	299	192	267	0	2238	11511	2785	1640	4102	0
2024-01-01 00:55:00-03:00	2024-01-01 01:00:00-03:00	-36	401	807	300	192	268	0	2236	11505	2787	1566	4126	0
2024-01-01 01:00:00-03:00	2024-01-01 01:05:00-03:00	-36	405	807	296	192	268	0	2237	11508	2783	1459	4169	0
2024-01-01 01:05:00-03:00	2024-01-01 01:10:00-03:00	-36	422	807	297	192	268	0	2236	11537	2776	1349	4105	0
2024-01-01 01:10:00-03:00	2024-01-01 01:15:00-03:00	-35	419	807	300	192	269	0	2235	11590	2784	1135	4151	0
2024-01-01 01:15:00-03:00	2024-01-01 01:20:00-03:00	-36	422	807	299	192	269	0	2236	11526	2779	1034	4272	0
2024-01-01 01:20:00-03:00	2024-01-01 01:25:00-03:00	-36	421	807	300	192	269	0	2236	11493	2781	944	4327	0
2024-01-01 01:25:00-03:00	2024-01-01 01:30:00-03:00	-36	412	807	301	191	270	0	2236	11482	2778	865	4365	0
2024-01-01 01:30:00-03:00	2024-01-01 01:35:00-03:00	-36	401	807	298	192	268	0	2235	11482	2766	835	4354	0
2024-01-01 01:35:00-03:00	2024-01-01 01:40:00-03:00	-36	397	807	293	191	269	0	2237	11483	2760	786	4359	0
2024-01-01 01:40:00-03:00	2024-01-01 01:45:00-03:00	-36	390	807	293	191	268	0	2238	11480	2767	815	4279	0
2024-01-01 01:45:00-03:00	2024-01-01 01:50:00-03:00	-36	378	806	298	191	268	0	2238	11502	2761	831	4186	0
2024-01-01 01:50:00-03:00	2024-01-01 01:55:00-03:00	-36	363	807	299	191	267	0	2239	11510	2750	780	4196	0
2024-01-01 01:55:00-03:00	2024-01-01 02:00:00-03:00	-36	347	806	300	192	267	0	2240	11511	2752	765	4128	0
2024-01-01 02:00:00-03:00	2024-01-01 02:05:00-03:00	-36	339	806	300	192	267	0	2240	11521	2751	842	4066	0
2024-01-01 02:05:00-03:00	2024-01-01 02:10:00-03:00	-36	336	806	298	192	267	0	2240	11559	2758	872	4075	0
2024-01-01 02:10:00-03:00	2024-01-01 02:15:00-03:00	-36	346	806	298	192	268	0	2241	11624	2757	851	4041	0
2024-01-01 02:15:00-03:00	2024-01-01 02:20:00-03:00	-37	350	806	299	192	268	0	2240	11650	2761	773	4031	0
2024-01-01 02:20:00-03:00	2024-01-01 02:25:00-03:00	-37	355	807	297	193	267	0	2240	11667	2751	737	4042	0
2024-01-01 02:25:00-03:00	2024-01-01 02:30:00-03:00	-37	369	806	294	193	267	0	2241	11663	2739	713	4007	0
2024-01-01 02:30:00-03:00	2024-01-01 02:35:00-03:00	-37	392	806	292	193	268	0	2240	11641	2727	635	4053	0
2024-01-01 02:35:00-03:00	2024-01-01 02:40:00-03:00	-37	398	807	292	193	268	0	2240	11589	2726	623	4062	0
2024-01-01 02:40:00-03:00	2024-01-01 02:45:00-03:00	-38	405	807	295	193	269	0	2240	11507	2717	568	4140	0
2024-01-01 02:45:00-03:00	2024-01-01 02:50:00-03:00	-38	419	807	297	193	268	0	2241	11515	2720	489	4130	0
2024-01-01 02:50:00-03:00	2024-01-01 02:55:00-03:00	-38	442	807	297	193	268	0	2241	11481	2696	481	4114	0
2024-01-01 02:55:00-03:00	2024-01-01 03:00:00-03:00	-38	467	806	296	193	268	0	2240	11423	2612	481	4140	0
2024-01-01 03:00:00-03:00	2024-01-01 03:05:00-03:00	-39	492	807	295	193	268	0	2240	11449	2508	444	4168	0
2024-01-01 03:05:00-03:00	2024-01-01 03:10:00-03:00	-39	475	808	286	193	249	0	2239	11566	2323	538	4112	0
2024-01-01 03:10:00-03:00	2024-01-01 03:15:00-03:00	-39	468	808	282	193	239	0	2240	11668	2357	478	3975	0
2024-01-01 03:15:00-03:00	2024-01-01 03:20:00-03:00	-39	477	807	282	192	239	0	2239	11741	2402	440	3822	0
2024-01-01 03:20:00-03:00	2024-01-01 03:25:00-03:00	-39	504	807	282	192	238	0	2241	11759	2395	335	3788	0
2024-01-01 03:25:00-03:00	2024-01-01 03:30:00-03:00	-22	535	807	282	192	237	0	2242	11752	2390	255	3786	0
2024-01-01 03:30:00-03:00	2024-01-01 03:35:00-03:00	-20	542	807	283	192	237	0	2241	11731	2393	204	3772	0
2024-01-01 03:35:00-03:00	2024-01-01 03:40:00-03:00	-19	533	807	283	192	237	0	2242	11695	2376	103	3841	0
2024-01-01 03:40:00-03:00	2024-01-01 03:45:00-03:00	-19	500	807	281	192	237	0	2240	11664	2229	88	4001	0
2024-01-01 03:45:00-03:00	2024-01-01 03:50:00-03:00	-20	451	807	280	192	238	0	2241	11637	2112	-28	4077	0
2024-01-01 03:50:00-03:00	2024-01-01 03:55:00-03:00	-18	423	808	282	192	238	0	2240	11607	2068	-66	4059	0
