interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-03-01 00:00:00-03:00	2024-03-01 00:05:00-03:00	-5	3516	790	237	197	314	0	2258	6898	4024	3283	5532	0.0
2024-03-01 00:05:00-03:00	2024-03-01 00:10:00-03:00	-3	3488	790	240	198	316	0	2258	6930	4070	3241	5499	0.0
2024-03-01 00:10:00-03:00	2024-03-01 00:15:00-03:00	2	3446	790	236	198	319	0	2257	6937	4111	3238	5454	0.0
2024-03-01 00:15:00-03:00	2024-03-01 00:20:00-03:00	6	3419	791	234	198	319	0	2258	7004	4139	3273	5313	0.0
2024-03-01 00:20:00-03:00	2024-03-01 00:25:00-03:00	9	3434	791	234	199	320	0	2257	7068	4104	3185	5330	0.0
2024-03-01 00:25:00-03:00	2024-03-01 00:30:00-03:00	13	3468	790	233	198	319	0	2258	7121	4112	3102	5320	0.0
2024-03-01 00:30:00-03:00	2024-03-01 00:35:00-03:00	16	3469	790	233	198	319	0	2259	7134	4098	2991	5331	0.0
2024-03-01 00:35:00-03:00	2024-03-01 00:40:00-03:00	17	3476	791	232	198	319	0	2259	7137	4108	2969	5279	0.0
2024-03-01 00:40:00-03:00	2024-03-01 00:45:00-03:00	16	3483	791	232	198	319	0	2258	7135	4123	2925	5262	0.0
2024-03-01 00:45:00-03:00	2024-03-01 00:50:00-03:00	17	3520	792	231	197	320	0	2259	7126	4118	2811	5341	0.0
2024-03-01 00:50:00-03:00	2024-03-01 00:55:00-03:00	14	3552	792	232	197	320	0	2259	7101	4120	2778	5337	0.0
2024-03-01 00:55:00-03:00	2024-03-01 01:00:00-03:00	12	3561	792	233	198	320	0	2260	7097	4112	2740	5275	0.0
2024-03-01 01:00:00-03:00	2024-03-01 01:05:00-03:00	11	3563	793	232	198	319	0	2258	7088	4127	2660	5285	0.0
2024-03-01 01:05:00-03:00	2024-03-01 01:10:00-03:00	12	3571	793	232	198	316	0	2260	7080	4111	2517	5356	0.0
2024-03-01 01:10:00-03:00	2024-03-01 01:15:00-03:00	12	3595	792	233	198	313	0	2258	7146	4124	2266	5469	0.0
2024-03-01 01:15:00-03:00	2024-03-01 01:20:00-03:00	12	3628	793	232	198	312	0	2258	7158	4124	2194	5434	0.0
2024-03-01 01:20:00-03:00	2024-03-01 01:25:00-03:00	13	3688	793	233	198	312	0	2259	7204	4103	2126	5378	0.0
2024-03-01 01:25:00-03:00	2024-03-01 01:30:00-03:00	11	3742	792	230	198	312	0	2259	7267	4041	1980	5370	0.0
2024-03-01 01:30:00-03:00	2024-03-01 01:35:00-03:00	10	3816	792	228	198	312	0	2259	7268	4039	1924	5349	0.0
2024-03-01 01:35:00-03:00	2024-03-01 01:40:00-03:00	8	3856	793	230	199	312	0	2258	7262	4073	1753	5372	0.0
2024-03-01 01:40:00-03:00	2024-03-01 01:45:00-03:00	7	3882	793	231	198	313	0	2259	7254	4119	1756	5257	0.0
2024-03-01 01:45:00-03:00	2024-03-01 01:50:00-03:00	10	3921	792	229	198	313	0	2259	7259	4108	1712	5181	0.0
2024-03-01 01:50:00-03:00	2024-03-01 01:55:00-03:00	13	3943	792	231	198	312	0	2260	7207	4123	1654	5176	0.0
2024-03-01 01:55:00-03:00	2024-03-01 02:00:00-03:00	14	3977	793	231	198	312	0	2259	7160	4145	1512	5239	0.0
2024-03-01 02:00:00-03:00	2024-03-01 02:05:00-03:00	12	3971	793	231	198	312	0	2259	7183	4141	1487	5166	0.0
2024-03-01 02:05:00-03:00	2024-03-01 02:10:00-03:00	14	3968	793	229	198	310	0	2260	7225	4045	1691	5003	0.0
2024-03-01 02:10:00-03:00	2024-03-01 02:15:00-03:00	15	3967	793	232	198	310	0	2259	7272	4010	1759	4906	0.0
2024-03-01 02:15:00-03:00	2024-03-01 02:20:00-03:00	15	3961	793	231	198	306	0	2260	7303	4000	1639	4997	0.0
2024-03-01 02:20:00-03:00	2024-03-01 02:25:00-03:00	14	3951	793	231	198	305	0	2260	7320	3964	1421	5245	0.0
2024-03-01 02:25:00-03:00	2024-03-01 02:30:00-03:00	15	3950	793	231	198	305	0	2260	7322	3969	1264	5275	0.0
2024-03-01 02:30:00-03:00	2024-03-01 02:35:00-03:00	13	3957	793	232	198	305	0	2261	7328	3967	1128	5279	0.0
2024-03-01 02:35:00-03:00	2024-03-01 02:40:00-03:00	13	3944	792	232	198	305	0	2259	7314	3986	959	5358	0.0
2024-03-01 02:40:00-03:00	2024-03-01 02:45:00-03:00	14	3899	794	233	198	305	0	2259	7297	4023	863	5408	0.0
2024-03-01 02:45:00-03:00	2024-03-01 02:50:00-03:00	14	3881	793	233	197	307	0	2259	7279	4011	878	5371	0.0
2024-03-01 02:50:00-03:00	2024-03-01 02:55:00-03:00	13	3887	793	233	197	307	0	2258	7241	3974	953	5273	0.0
2024-03-01 02:55:00-03:00	2024-03-01 03:00:00-03:00	9	3854	792	233	197	307	0	2258	7128	3970	821	5441	0.0
2024-03-01 03:00:00-03:00	2024-03-01 03:05:00-03:00	4	3864	792	229	197	307	0	2259	6836	3953	658	5787	0.0
2024-03-01 03:05:00-03:00	2024-03-01 03:10:00-03:00	2	3923	793	229	197	306	0	2258	6599	3899	428	6213	0.0
2024-03-01 03:10:00-03:00	2024-03-01 03:15:00-03:00	1	3976	792	229	197	293	0	2258	6562	3878	261	6423	0.0
2024-03-01 03:15:00-03:00	2024-03-01 03:20:00-03:00	2	3997	792	228	197	292	0	2259	6591	3840	115	6446	0.0
