interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-02-01 00:00:00-03:00	2024-02-01 00:05:00-03:00	-54	3042	748	235	202	267	0	2260	10499	3062	974	5067	0
2024-02-01 00:05:00-03:00	2024-02-01 00:10:00-03:00	-54	3021	749	234	202	267	0	2259	10527	2995	902	5217	0
2024-02-01 00:10:00-03:00	2024-02-01 00:15:00-03:00	-54	3035	749	235	202	267	0	2259	10577	2932	820	5278	0
2024-02-01 00:15:00-03:00	2024-02-01 00:20:00-03:00	-54	3063	749	234	202	267	0	2259	10592	2920	739	5264	0
2024-02-01 00:20:00-03:00	2024-02-01 00:25:00-03:00	-54	3201	748	236	202	267	0	2259	10607	2902	578	5230	0
2024-02-01 00:25:00-03:00	2024-02-01 00:30:00-03:00	-54	3360	748	235	202	266	0	2260	10611	2873	382	5194	0
2024-02-01 00:30:00-03:00	2024-02-01 00:35:00-03:00	-54	3452	748	234	202	266	0	2260	10614	2885	390	5069	0
2024-02-01 00:35:00-03:00	2024-02-01 00:40:00-03:00	-54	3546	748	237	202	266	0	2259	10600	2823	349	5002	0
2024-02-01 00:40:00-03:00	2024-02-01 00:45:00-03:00	-54	3544	748	236	202	267	0	2260	10576	2719	404	4957	0
2024-02-01 00:45:00-03:00	2024-02-01 00:50:00-03:00	-54	3582	748	236	202	266	0	2260	10524	2706	391	4907	0
2024-02-01 00:50:00-03:00	2024-02-01 00:55:00-03:00	-54	3631	748	236	201	264	0	2260	10362	2720	412	4911	0
2024-02-01 00:55:00-03:00	2024-02-01 01:00:00-03:00	-54	3657	748	237	201	264	0	2260	10230	2728	454	4910	0
2024-02-01 01:00:00-03:00	2024-02-01 01:05:00-03:00	-54	3685	748	238	201	264	0	2260	10312	2782	413	4819	0
2024-02-01 01:05:00-03:00	2024-02-01 01:10:00-03:00	-54	3695	748	238	201	264	0	2260	10379	2732	560	4673	0
2024-02-01 01:10:00-03:00	2024-02-01 01:15:00-03:00	-53	3704	749	239	201	264	0	2260	10402	2692	528	4791	0
2024-02-01 01:15:00-03:00	2024-02-01 01:20:00-03:00	-53	3739	749	239	201	264	0	2260	10411	2688	474	4768	0
2024-02-01 01:20:00-03:00	2024-02-01 01:25:00-03:00	-53	3712	749	239	201	264	0	2260	10401	2662	470	4750	0
2024-02-01 01:25:00-03:00	2024-02-01 01:30:00-03:00	-54	3703	749	239	202	262	0	2260	10392	2663	426	4763	0
2024-02-01 01:30:00-03:00	2024-02-01 01:35:00-03:00	-54	3740	748	237	202	262	0	2260	10386	2672	409	4697	0
2024-02-01 01:35:00-03:00	2024-02-01 01:40:00-03:00	-54	3765	748	238	202	262	0	2260	10371	2675	338	4699	0
2024-02-01 01:40:00-03:00	2024-02-01 01:45:00-03:00	-54	3804	747	239	202	262	0	2261	10344	2658	303	4622	0
2024-02-01 01:45:00-03:00	2024-02-01 01:50:00-03:00	-54	3744	747	240	202	262	0	2260	10318	2665	270	4688	0
