interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-05-01 00:00:00-03:00	2024-05-01 00:05:00-03:00	41	4553	790	216	166	289	0	1145	7259	5101	6960	-856	0
2024-05-01 00:05:00-03:00	2024-05-01 00:10:00-03:00	38	4572	791	217	167	290	0	1145	7291	5134	6786	-735	0
2024-05-01 00:10:00-03:00	2024-05-01 00:15:00-03:00	32	4586	792	218	169	294	0	1145	7291	5151	6775	-704	0
2024-05-01 00:15:00-03:00	2024-05-01 00:20:00-03:00	22	4594	792	219	169	295	0	1145	7312	5130	6748	-665	0
2024-05-01 00:20:00-03:00	2024-05-01 00:25:00-03:00	21	4629	793	223	169	294	0	1146	7340	5135	6680	-614	0
2024-05-01 00:25:00-03:00	2024-05-01 00:30:00-03:00	15	4658	793	221	168	295	0	1146	7354	5136	6530	-569	0
2024-05-01 00:30:00-03:00	2024-05-01 00:35:00-03:00	9	4665	793	219	168	296	0	1146	7372	5163	6350	-471	0
2024-05-01 00:35:00-03:00	2024-05-01 00:40:00-03:00	10	4676	794	218	168	296	0	1145	7367	5133	6276	-435	0
2024-05-01 00:40:00-03:00	2024-05-01 00:45:00-03:00	14	4682	794	216	168	295	0	1146	7373	5111	6226	-443	0
2024-05-01 00:45:00-03:00	2024-05-01 00:50:00-03:00	15	4674	794	197	168	294	0	1146	7388	4958	6289	-439	0
2024-05-01 00:50:00-03:00	2024-05-01 00:55:00-03:00	19	4689	794	174	168	296	0	1146	7404	4849	6313	-462	0
2024-05-01 00:55:00-03:00	2024-05-01 01:00:00-03:00	24	4677	795	173	169	295	0	1146	7400	4836	6214	-390	0
2024-05-01 01:00:00-03:00	2024-05-01 01:05:00-03:00	30	4655	795	174	168	296	0	1145	7305	4786	6100	-200	0
2024-05-01 01:05:00-03:00	2024-05-01 01:10:00-03:00	32	4637	795	177	168	296	0	1146	6836	4859	6423	-101	0
2024-05-01 01:10:00-03:00	2024-05-01 01:15:00-03:00	38	4617	795	179	169	297	0	1146	6734	4859	6373	0	0
2024-05-01 01:15:00-03:00	2024-05-01 01:20:00-03:00	47	4614	795	179	169	296	0	1146	6726	4879	6199	112	0
2024-05-01 01:20:00-03:00	2024-05-01 01:25:00-03:00	52	4598	804	178	168	296	0	1146	6721	4874	6082	210	0
2024-05-01 01:25:00-03:00	2024-05-01 01:30:00-03:00	53	4593	803	180	168	295	0	1146	6662	4871	6074	181	0
