interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-04-01 00:00:00-03:00	2024-04-01 00:05:00-03:00	-41	2016	743	283	178	273	0	2264	4125	4104	3091	6083	0
2024-04-01 00:05:00-03:00	2024-04-01 00:10:00-03:00	-41	1993	741	282	177	274	0	2264	4150	4082	3184	6130	0
2024-04-01 00:10:00-03:00	2024-04-01 00:15:00-03:00	-43	1958	744	283	177	272	0	2265	4188	4082	3237	6131	0
2024-04-01 00:15:00-03:00	2024-04-01 00:20:00-03:00	-43	1921	743	282	177	270	0	2264	4212	4090	3185	6204	0
2024-04-01 00:20:00-03:00	2024-04-01 00:25:00-03:00	-48	1922	743	283	177	270	0	2264	4230	4090	3246	6138	0
2024-04-01 00:25:00-03:00	2024-04-01 00:30:00-03:00	-39	1962	744	280	177	270	0	2265	4238	4086	3157	6159	0
2024-04-01 00:30:00-03:00	2024-04-01 00:35:00-03:00	-36	2017	743	281	177	268	0	2264	4248	4093	3095	6167	0
2024-04-01 00:35:00-03:00	2024-04-01 00:40:00-03:00	-33	2036	744	280	177	268	0	2265	4248	4073	3038	6155	0
2024-04-01 00:40:00-03:00	2024-04-01 00:45:00-03:00	-32	2057	743	282	177	268	0	2265	4260	4073	3010	6099	0
2024-04-01 00:45:00-03:00	2024-04-01 00:50:00-03:00	-31	2095	743	281	177	270	0	2265	4267	4062	2974	6061	0
2024-04-01 00:50:00-03:00	2024-04-01 00:55:00-03:00	-29	2164	743	280	177	270	0	2266	4281	4074	2955	5996	0
2024-04-01 00:55:00-03:00	2024-04-01 01:00:00-03:00	-28	2223	744	281	177	269	0	2265	4331	4072	2865	5935	0
2024-04-01 01:00:00-03:00	2024-04-01 01:05:00-03:00	-28	2228	744	283	177	270	0	2265	4380	4047	2752	5930	0
2024-04-01 01:05:00-03:00	2024-04-01 01:10:00-03:00	-28	2236	744	284	177	271	0	2266	4390	4006	2973	5800	0
2024-04-01 01:10:00-03:00	2024-04-01 01:15:00-03:00	-30	2227	744	287	177	271	0	2267	4436	4033	2953	5749	0
2024-04-01 01:15:00-03:00	2024-04-01 01:20:00-03:00	-32	2208	743	284	177	273	0	2265	4484	4026	2800	5812	0
2024-04-01 01:20:00-03:00	2024-04-01 01:25:00-03:00	-32	2151	743	285	177	272	0	2265	4484	4003	2722	5896	0
2024-04-01 01:25:00-03:00	2024-04-01 01:30:00-03:00	-33	2085	744	285	177	273	0	2266	4470	4014	2629	5997	0
2024-04-01 01:30:00-03:00	2024-04-01 01:35:00-03:00	-35	2033	743	284	176	273	0	2265	4475	4014	2562	6059	0
2024-04-01 01:35:00-03:00	2024-04-01 01:40:00-03:00	-35	1957	744	286	176	272	0	2266	4508	4041	2543	6029	0
2024-04-01 01:40:00-03:00	2024-04-01 01:45:00-03:00	-36	1914	744	287	177	272	0	2265	4548	4053	2516	5987	0
2024-04-01 01:45:00-03:00	2024-04-01 01:50:00-03:00	-38	1897	746	286	177	273	0	2265	4562	4033	2477	5961	0
2024-04-01 01:50:00-03:00	2024-04-01 01:55:00-03:00	-38	1887	746	284	176	272	0	2265	4552	4023	2341	6052	0
2024-04-01 01:55:00-03:00	2024-04-01 02:00:00-03:00	-38	1935	747	282	176	272	0	2266	4542	4028	2304	6005	0
2024-04-01 02:00:00-03:00	2024-04-01 02:05:00-03:00	-40	2013	746	278	176	272	0	2266	4547	4038	2173	5945	0
2024-04-01 02:05:00-03:00	2024-04-01 02:10:00-03:00	-41	2043	746	273	176	269	0	2265	4566	4019	2067	5967	0
2024-04-01 02:10:00-03:00	2024-04-01 02:15:00-03:00	-40	2044	747	272	176	267	0	2265	4595	4068	1925	5944	0
2024-04-01 02:15:00-03:00	2024-04-01 02:20:00-03:00	-41	2045	747	270	176	267	0	2265	4634	4086	1790	5941	0
2024-04-01 02:20:00-03:00	2024-04-01 02:25:00-03:00	-42	2073	747	270	178	267	0	2266	4615	4099	1666	5964	0
2024-04-01 02:25:00-03:00	2024-04-01 02:30:00-03:00	-43	2068	747	268	177	267	0	2266	4611	4056	1521	6008	0
2024-04-01 02:30:00-03:00	2024-04-01 02:35:00-03:00	-38	2038	747	269	176	266	0	2266	4663	4036	1350	6044	0
2024-04-01 02:35:00-03:00	2024-04-01 02:40:00-03:00	-37	1997	746	268	176	266	0	2266	4687	4050	1266	6027	0
2024-04-01 02:40:00-03:00	2024-04-01 02:45:00-03:00	-37	1959	748	269	177	266	0	2267	4688	4080	1063	6106	0
2024-04-01 02:45:00-03:00	2024-04-01 02:50:00-03:00	-34	1923	747	267	176	267	0	2266	4648	4032	993	6227	0
2024-04-01 02:50:00-03:00	2024-04-01 02:55:00-03:00	-28	1915	747	266	176	267	0	2266	4588	4008	913	6291	0
2024-04-01 02:55:00-03:00	2024-04-01 03:00:00-03:00	-23	1940	747	264	176	267	0	2266	4533	3996	968	6212	0
2024-04-01 03:00:00-03:00	2024-04-01 03:05:00-03:00	-19	1958	747	262	175	266	0	2267	4523	3925	1103	6009	0
2024-04-01 03:05:00-03:00	2024-04-01 03:10:00-03:00	-15	1976	746	263	175	266	0	2266	4553	3674	1234	5951	0
2024-04-01 03:10:00-03:00	2024-04-01 03:15:00-03:00	-13	1952	747	259	175	267	0	2267	4554	3543	1218	5992	0
2024-04-01 03:15:00-03:00	2024-04-01 03:20:00-03:00	-13	1925	747	258	175	267	0	2266	4586	3551	1176	5918	0
2024-04-01 03:20:00-03:00	2024-04-01 03:25:00-03:00	-15	1913	747	256	175	266	0	2267	4565	3521	1150	5921	0
2024-04-01 03:25:00-03:00	2024-04-01 03:30:00-03:00	-15	1904	747	258	175	266	0	2266	4601	3521	1042	5894	0
2024-04-01 03:30:00-03:00	2024-04-01 03:35:00-03:00	-14	1884	747	260	175	266	0	2266	4683	3506	875	5856	0
2024-04-01 03:35:00-03:00	2024-04-01 03:40:00-03:00	-16	1896	747	259	175	266	0	2265	4747	3496	753	5777	0
2024-04-01 03:40:00-03:00	2024-04-01 03:45:00-03:00	-22	1880	747	259	175	267	0	2267	4827	3500	607	5735	0
2024-04-01 03:45:00-03:00	2024-04-01 03:50:00-03:00	-27	1873	747	258	175	267	0	2266	4884	3510	370	5772	0
2024-04-01 03:50:00-03:00	2024-04-01 03:55:00-03:00	-27	1859	747	259	175	267	0	2266	4887	3473	221	5781	0
2024-04-01 03:55:00-03:00	2024-04-01 04:00:00-03:00	-22	1855	748	258	175	267	0	2265	4850	3455	165	5783	0
2024-04-01 04:00:00-03:00	2024-04-01 04:05:00-03:00	-15	1876	747	257	175	267	0	2264	4875	3401	192	5604	0
2024-04-01 04:05:00-03:00	2024-04-01 04:10:00-03:00	-12	1894	747	255	176	270	0	2265	4841	3455	349	5533	0
2024-04-01 04:10:00-03:00	2024-04-01 04:15:00-03:00	-10	1917	747	257	177	271	0	2264	4831	3460	146	5790	0
2024-04-01 04:15:00-03:00	2024-04-01 04:20:00-03:00	-10	1917	748	258	176	272	0	2263	4757	3462	109	5861	0
2024-04-01 04:20:00-03:00	2024-04-01 04:25:00-03:00	-8	1906	747	259	176	272	0	2263	4538	3379	293	6011	0
2024-04-01 04:25:00-03:00	2024-04-01 04:30:00-03:00	-6	1894	747	259	176	272	0	2265	4275	3344	491	6018	0
2024-04-01 04:30:00-03:00	2024-04-01 04:35:00-03:00	-6	1886	746	260	175	272	0	2264	4101	3325	557	6070	0
2024-04-01 04:35:00-03:00	2024-04-01 04:40:00-03:00	-6	1849	747	258	175	272	0	2263	4149	3306	434	6089	0
2024-04-01 04:40:00-03:00	2024-04-01 04:45:00-03:00	-5	1804	746	259	176	272	0	2264	4218	3297	326	6103	0
2024-04-01 04:45:00-03:00	2024-04-01 04:50:00-03:00	-7	1774	748	259	177	272	0	2264	4258	3312	254	6092	0
2024-04-01 04:50:00-03:00	2024-04-01 04:55:00-03:00	-10	1720	747	259	177	273	0	2264	4252	3311	221	6127	0
2024-04-01 04:55:00-03:00	2024-04-01 05:00:00-03:00	-11	1655	748	260	177	272	0	2264	4271	3309	110	6190	0
2024-04-01 05:00:00-03:00	2024-04-01 05:05:00-03:00	-12	1605	748	260	177	272	0	2263	4296	3219	80	6273	0
2024-04-01 05:05:00-03:00	2024-04-01 05:10:00-03:00	-11	1567	748	261	177	272	0	2264	4369	3179	285	6143	0
2024-04-01 05:10:00-03:00	2024-04-01 05:15:00-03:00	-11	1193	748	261	177	274	0	2264	4430	3169	577	6065	0
2024-04-01 05:15:00-03:00	2024-04-01 05:20:00-03:00	-13	1125	749	259	176	274	0	2265	4457	3156	695	5912	0
2024-04-01 05:20:00-03:00	2024-04-01 05:25:00-03:00	-15	1093	749	260	176	273	0	2264	4510	3134	507	6039	0
2024-04-01 05:25:00-03:00	2024-04-01 05:30:00-03:00	-15	1065	749	260	176	274	0	2265	4685	3168	371	6066	0
