interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-06-01 00:00:00-03:00	2024-06-01 00:05:00-03:00	236	4110	748.0	310	174	346	0	2266	8215	5266	4579	3125	0
2024-06-01 00:05:00-03:00	2024-06-01 00:10:00-03:00	188	4232	749.0	310	174	345	0	2266	8210	5059	4612	3259	0
2024-06-01 00:10:00-03:00	2024-06-01 00:15:00-03:00	158	4340	749.0	311	174	345	0	2265	8176	4812	4614	3515	0
2024-06-01 00:15:00-03:00	2024-06-01 00:20:00-03:00	140	4395	749.0	309	173	344	0	2265	8210	4642	4541	3745	0
2024-06-01 00:20:00-03:00	2024-06-01 00:25:00-03:00	128	4454	750.0	309	173	344	0	2266	8235	4619	4496	3803	0
2024-06-01 00:25:00-03:00	2024-06-01 00:30:00-03:00	123	4437	750.0	311	173	343	0	2265	8243	4660	4347	3849	0
2024-06-01 00:30:00-03:00	2024-06-01 00:35:00-03:00	119	4424	751.0	310	173	343	0	2265	8256	4683	4284	3875	0
2024-06-01 00:35:00-03:00	2024-06-01 00:40:00-03:00	116	4432	749.0	310	171	343	0	2265	8288	4680	4241	3863	0
2024-06-01 00:40:00-03:00	2024-06-01 00:45:00-03:00	116	4453	749.0	311	172	343	0	2265	8256	4686	4238	3872	0
2024-06-01 00:45:00-03:00	2024-06-01 00:50:00-03:00	120	4518	749.0	311	172	343	0	2265	8237	4756	4072	3876	0
2024-06-01 00:50:00-03:00	2024-06-01 00:55:00-03:00	119	4556	748.0	311	172	342	0	2265	8130	4778	4003	3981	0
2024-06-01 00:55:00-03:00	2024-06-01 01:00:00-03:00	124	4608	749.0	314	174	343	0	2265	8171	4763	3888	3985	0
2024-06-01 01:00:00-03:00	2024-06-01 01:05:00-03:00	128	4653	749.0	312	175	342	0	2265	8246	4732	3808	3991	0
2024-06-01 01:05:00-03:00	2024-06-01 01:10:00-03:00	127	4717	749.0	309	175	343	0	2264	8342	4737	3818	3909	0
2024-06-01 01:10:00-03:00	2024-06-01 01:15:00-03:00	121	4775	748.0	308	175	343	0	2264	8350	4711	3650	4119	0
