interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-09-01 00:00:00-03:00	2024-09-01 00:05:00-03:00	-43	2744	760	339	156	270	0	1542	13677	4103	5951	3723	0
2024-09-01 00:05:00-03:00	2024-09-01 00:10:00-03:00	-49	2761	760	340	158	270	0	1544	13630	4086	6101	3522	0
2024-09-01 00:10:00-03:00	2024-09-01 00:15:00-03:00	-47	2762	760	338	157	271	0	1548	13631	4171	6026	3399	0
2024-09-01 00:15:00-03:00	2024-09-01 00:20:00-03:00	-46	2778	759	339	157	271	0	1549	13732	4013	5764	3617	0
2024-09-01 00:20:00-03:00	2024-09-01 00:25:00-03:00	-44	2810	760	341	157	271	0	1550	13720	3804	5606	3861	0
2024-09-01 00:25:00-03:00	2024-09-01 00:30:00-03:00	-44	2847	760	337	157	270	0	1551	13858	3810	4933	4222	0
2024-09-01 00:30:00-03:00	2024-09-01 00:35:00-03:00	-44	2887	760	330	157	271	0	1552	13811	3827	4563	4470	0
2024-09-01 00:35:00-03:00	2024-09-01 00:40:00-03:00	-44	2903	759	333	157	270	0	1553	13268	3829	4780	4654	0
2024-09-01 00:40:00-03:00	2024-09-01 00:45:00-03:00	-44	2924	760	335	156	270	0	1552	13130	3811	4484	4952	0
2024-09-01 00:45:00-03:00	2024-09-01 00:50:00-03:00	-44	2957	760	337	158	269	0	1552	13095	3770	4199	5150	0
2024-09-01 00:50:00-03:00	2024-09-01 00:55:00-03:00	-45	2951	759	338	161	270	0	1553	13062	3749	4197	5190	0
2024-09-01 00:55:00-03:00	2024-09-01 01:00:00-03:00	-43	2970	742	340	159	270	0	1554	13106	3790	3870	5284	0
2024-09-01 01:00:00-03:00	2024-09-01 01:05:00-03:00	-44	2963	740	339	160	271	0	1554	13171	3802	3775	5243	0
2024-09-01 01:05:00-03:00	2024-09-01 01:10:00-03:00	-44	2924	736	338	160	270	0	1554	13103	3813	4178	4880	0
2024-09-01 01:10:00-03:00	2024-09-01 01:15:00-03:00	-43	2918	736	335	160	271	0	1554	13065	3775	4210	4887	0
2024-09-01 01:15:00-03:00	2024-09-01 01:20:00-03:00	-42	2934	736	338	160	270	0	1555	13061	3772	3996	4953	0
2024-09-01 01:20:00-03:00	2024-09-01 01:25:00-03:00	-41	2922	736	338	159	270	0	1554	12956	3762	3840	5140	0
2024-09-01 01:25:00-03:00	2024-09-01 01:30:00-03:00	-40	2933	737	338	159	270	0	1554	12838	3747	3615	5320	0
2024-09-01 01:30:00-03:00	2024-09-01 01:35:00-03:00	-40	2929	737	339	159	270	0	1554	12824	3744	3417	5407	0
2024-09-01 01:35:00-03:00	2024-09-01 01:40:00-03:00	-40	2905	737	340	161	269	0	1555	12770	3751	3158	5586	0
2024-09-01 01:40:00-03:00	2024-09-01 01:45:00-03:00	-40	2878	737	340	161	269	0	1555	12812	3753	2899	5644	0
2024-09-01 01:45:00-03:00	2024-09-01 01:50:00-03:00	-40	2857	738	338	161	269	0	1556	12868	3751	2527	5827	0
2024-09-01 01:50:00-03:00	2024-09-01 01:55:00-03:00	-40	2850	738	338	161	270	0	1554	12874	3746	2199	6038	0
2024-09-01 01:55:00-03:00	2024-09-01 02:00:00-03:00	-40	2827	734	336	161	270	0	1555	12878	3752	1976	6050	0
2024-09-01 02:00:00-03:00	2024-09-01 02:05:00-03:00	-39	2791	733	332	161	271	0	1556	12872	3818	2390	5398	0
2024-09-01 02:05:00-03:00	2024-09-01 02:10:00-03:00	-41	2760	734	327	161	271	0	1555	12860	3977	2716	4798	0
2024-09-01 02:10:00-03:00	2024-09-01 02:15:00-03:00	-41	2743	737	325	161	271	0	1553	12871	3947	2775	4515	0
2024-09-01 02:15:00-03:00	2024-09-01 02:20:00-03:00	-41	2706	737	324	161	270	0	1554	12850	3948	2601	4559	0
2024-09-01 02:20:00-03:00	2024-09-01 02:25:00-03:00	-40	2668	738	323	161	270	0	1554	12809	3937	2443	4619	0
2024-09-01 02:25:00-03:00	2024-09-01 02:30:00-03:00	-40	2641	738	322	161	269	0	1555	12759	3919	2130	4876	0
2024-09-01 02:30:00-03:00	2024-09-01 02:35:00-03:00	-40	2611	738	322	160	269	0	1553	12740	3887	1832	5086	0
2024-09-01 02:35:00-03:00	2024-09-01 02:40:00-03:00	-40	2597	738	321	160	269	0	1553	12726	3788	1733	5117	0
2024-09-01 02:40:00-03:00	2024-09-01 02:45:00-03:00	-40	2599	738	319	161	270	0	1554	12726	3761	1489	5213	0
2024-09-01 02:45:00-03:00	2024-09-01 02:50:00-03:00	-40	2586	738	317	161	270	0	1554	12673	3796	1261	5315	0
2024-09-01 02:50:00-03:00	2024-09-01 02:55:00-03:00	-41	2567	739	318	161	270	0	1556	12585	3798	1157	5365	0
2024-09-01 02:55:00-03:00	2024-09-01 03:00:00-03:00	-40	2564	739	316	161	270	0	1556	12462	3778	846	5624	0
2024-09-01 03:00:00-03:00	2024-09-01 03:05:00-03:00	-41	2596	738	314	161	271	0	1554	12298	3778	875	5543	0
2024-09-01 03:05:00-03:00	2024-09-01 03:10:00-03:00	-42	2618	740	315	162	271	0	1554	12170	3723	977	5522	0
2024-09-01 03:10:00-03:00	2024-09-01 03:15:00-03:00	-42	2593	740	315	162	271	0	1554	12116	3699	850	5554	0
2024-09-01 03:15:00-03:00	2024-09-01 03:20:00-03:00	-42	2555	740	317	162	271	0	1553	12151	3564	843	5569	0
2024-09-01 03:20:00-03:00	2024-09-01 03:25:00-03:00	-42	2530	740	316	162	271	0	1551	12219	3386	869	5506	0
2024-09-01 03:25:00-03:00	2024-09-01 03:30:00-03:00	-41	2502	741	317	163	271	0	1552	12225	3391	473	5783	0
2024-09-01 03:30:00-03:00	2024-09-01 03:35:00-03:00	-40	2480	741	321	162	271	0	1552	12224	3385	242	5872	0
2024-09-01 03:35:00-03:00	2024-09-01 03:40:00-03:00	-40	2457	742	318	162	272	0	1553	12217	3363	102	5854	0
2024-09-01 03:40:00-03:00	2024-09-01 03:45:00-03:00	-40	2444	742	318	163	272	0	1554	12227	3323	-55	5880	0
2024-09-01 03:45:00-03:00	2024-09-01 03:50:00-03:00	-40	2448	742	318	163	271	0	1554	12221	3280	-257	5961	0
2024-09-01 03:50:00-03:00	2024-09-01 03:55:00-03:00	-40	2440	741	318	163	272	0	1552	12211	3265	-619	6186	0
2024-09-01 03:55:00-03:00	2024-09-01 04:00:00-03:00	-39	2440	742	317	162	273	0	1552	12197	3249	-856	6248	0
2024-09-01 04:00:00-03:00	2024-09-01 04:05:00-03:00	-38	2405	742	317	162	273	0	1551	12191	3196	-630	6062	0
2024-09-01 04:05:00-03:00	2024-09-01 04:10:00-03:00	-40	2389	743	316	162	273	0	1552	12195	2931	329	5587	0
2024-09-01 04:10:00-03:00	2024-09-01 04:15:00-03:00	-40	2358	742	315	162	274	0	1552	12194	2770	485	5578	0
2024-09-01 04:15:00-03:00	2024-09-01 04:20:00-03:00	-38	2338	743	317	162	275	0	1552	12214	2741	486	5403	0
2024-09-01 04:20:00-03:00	2024-09-01 04:25:00-03:00	-39	2335	743	319	161	275	0	1554	12226	2701	494	5337	0
2024-09-01 04:25:00-03:00	2024-09-01 04:30:00-03:00	-39	2324	744	322	162	274	0	1554	12176	2649	343	5452	0
2024-09-01 04:30:00-03:00	2024-09-01 04:35:00-03:00	-39	2296	744	323	162	274	0	1551	12060	2625	218	5559	0
2024-09-01 04:35:00-03:00	2024-09-01 04:40:00-03:00	-39	2261	744	325	162	274	0	1551	12032	2620	147	5556	0
2024-09-01 04:40:00-03:00	2024-09-01 04:45:00-03:00	-38	2229	744	324	162	274	0	1552	12002	2608	122	5549	0
2024-09-01 04:45:00-03:00	2024-09-01 04:50:00-03:00	-39	2219	744	326	161	274	0	1548	11990	2604	29	5509	0
2024-09-01 04:50:00-03:00	2024-09-01 04:55:00-03:00	-38	2204	744	328	161	274	0	1545	11987	2599	-112	5556	0
2024-09-01 04:55:00-03:00	2024-09-01 05:00:00-03:00	-38	2174	744	327	162	274	0	1544	11958	2599	-131	5502	0
2024-09-01 05:00:00-03:00	2024-09-01 05:05:00-03:00	-38	2160	745	328	162	273	0	1543	11932	2601	-133	5391	0
2024-09-01 05:05:00-03:00	2024-09-01 05:10:00-03:00	-38	2135	747	328	163	274	0	1544	11984	2631	-83	5166	0
2024-09-01 05:10:00-03:00	2024-09-01 05:15:00-03:00	-38	2120	750	329	161	274	0	1545	11951	2639	-106	5097	0
2024-09-01 05:15:00-03:00	2024-09-01 05:20:00-03:00	-38	2096	749	329	162	273	0	1545	11946	2630	-165	5071	0
2024-09-01 05:20:00-03:00	2024-09-01 05:25:00-03:00	-39	2066	747	329	163	273	0	1545	11992	2594	-272	5061	0
2024-09-01 05:25:00-03:00	2024-09-01 05:30:00-03:00	-39	2049	745	327	161	273	0	1546	12005	2516	-228	4990	0
2024-09-01 05:30:00-03:00	2024-09-01 05:35:00-03:00	-41	2022	745	327	161	273	0	1547	12002	2477	-200	4902	0
2024-09-01 05:35:00-03:00	2024-09-01 05:40:00-03:00	-40	1983	745	327	161	273	0	1546	11924	2484	-190	4870	0
2024-09-01 05:40:00-03:00	2024-09-01 05:45:00-03:00	-40	1942	745	327	161	273	0	1546	11857	2485	-189	4866	0
2024-09-01 05:45:00-03:00	2024-09-01 05:50:00-03:00	-40	1909	745	326	161	273	0	1546	11874	2484	-186	4788	0
2024-09-01 05:50:00-03:00	2024-09-01 05:55:00-03:00	-40	1873	744	320	161	273	0	1545	11876	2479	-232	4762	0
2024-09-01 05:55:00-03:00	2024-09-01 06:00:00-03:00	-40	1850	745	312	161	272	0	1546	11819	2464	-236	4782	0
2024-09-01 06:00:00-03:00	2024-09-01 06:05:00-03:00	-39	1835	745	305	161	272	0	1546	11754	2468	-272	4792	0
2024-09-01 06:05:00-03:00	2024-09-01 06:10:00-03:00	-39	1795	744	304	161	272	0	1546	11738	2493	-238	4742	0
2024-09-01 06:10:00-03:00	2024-09-01 06:15:00-03:00	-40	1751	743	301	161	273	0	1548	11646	2470	-210	4856	0
